[INFO ] 2020-11-30 19:41:38.737 [http-nio-8080-exec-6] GenericDao - [edu.matc.entity.Product@5cd0d446, edu.matc.entity.Product@a4910ca9, edu.matc.entity.Product@cde4a59f, edu.matc.entity.Product@9d774a8e, edu.matc.entity.Product@9006f371, edu.matc.entity.Product@5ce73ca2, edu.matc.entity.Product@60aa3b1b, edu.matc.entity.Product@32965117, edu.matc.entity.Product@99df8af6, edu.matc.entity.Product@94033afb, edu.matc.entity.Product@426ea590, edu.matc.entity.Product@a10217a2]
[INFO ] 2020-11-30 19:41:42.844 [http-nio-8080-exec-10] GenericDao - [edu.matc.entity.Product@5cd0d446, edu.matc.entity.Product@a4910ca9, edu.matc.entity.Product@cde4a59f, edu.matc.entity.Product@9d774a8e, edu.matc.entity.Product@9006f371, edu.matc.entity.Product@5ce73ca2, edu.matc.entity.Product@60aa3b1b, edu.matc.entity.Product@32965117, edu.matc.entity.Product@99df8af6, edu.matc.entity.Product@94033afb, edu.matc.entity.Product@426ea590, edu.matc.entity.Product@a10217a2]
[INFO ] 2020-11-30 19:52:10.216 [http-nio-8080-exec-6] GenericDao - [edu.matc.entity.Product@5cd0d446, edu.matc.entity.Product@a4910ca9, edu.matc.entity.Product@cde4a59f, edu.matc.entity.Product@9d774a8e, edu.matc.entity.Product@9006f371, edu.matc.entity.Product@5ce73ca2, edu.matc.entity.Product@60aa3b1b, edu.matc.entity.Product@32965117, edu.matc.entity.Product@99df8af6, edu.matc.entity.Product@94033afb, edu.matc.entity.Product@426ea590, edu.matc.entity.Product@a10217a2]
[INFO ] 2020-11-30 19:52:15.612 [http-nio-8080-exec-10] GenericDao - [edu.matc.entity.Product@5cd0d446, edu.matc.entity.Product@a4910ca9, edu.matc.entity.Product@cde4a59f, edu.matc.entity.Product@9d774a8e, edu.matc.entity.Product@9006f371, edu.matc.entity.Product@5ce73ca2, edu.matc.entity.Product@60aa3b1b, edu.matc.entity.Product@32965117, edu.matc.entity.Product@99df8af6, edu.matc.entity.Product@94033afb, edu.matc.entity.Product@426ea590, edu.matc.entity.Product@a10217a2]
[INFO ] 2020-11-30 20:21:33.097 [http-nio-8080-exec-6] GenericDao - [edu.matc.entity.Product@5cd0d446, edu.matc.entity.Product@a4910ca9, edu.matc.entity.Product@cde4a59f, edu.matc.entity.Product@9d774a8e, edu.matc.entity.Product@9006f371, edu.matc.entity.Product@5ce73ca2, edu.matc.entity.Product@60aa3b1b, edu.matc.entity.Product@32965117, edu.matc.entity.Product@99df8af6, edu.matc.entity.Product@94033afb, edu.matc.entity.Product@426ea590, edu.matc.entity.Product@a10217a2]
[INFO ] 2020-11-30 20:21:38.921 [http-nio-8080-exec-10] GenericDao - [edu.matc.entity.Product@5cd0d446, edu.matc.entity.Product@a4910ca9, edu.matc.entity.Product@cde4a59f, edu.matc.entity.Product@9d774a8e, edu.matc.entity.Product@9006f371, edu.matc.entity.Product@5ce73ca2, edu.matc.entity.Product@60aa3b1b, edu.matc.entity.Product@32965117, edu.matc.entity.Product@99df8af6, edu.matc.entity.Product@94033afb, edu.matc.entity.Product@426ea590, edu.matc.entity.Product@a10217a2]
[INFO ] 2020-11-30 20:22:09.332 [http-nio-8080-exec-2] GenericDao - [edu.matc.entity.Product@5cd0d446, edu.matc.entity.Product@a4910ca9, edu.matc.entity.Product@cde4a59f, edu.matc.entity.Product@9d774a8e, edu.matc.entity.Product@9006f371, edu.matc.entity.Product@5ce73ca2, edu.matc.entity.Product@60aa3b1b, edu.matc.entity.Product@32965117, edu.matc.entity.Product@99df8af6, edu.matc.entity.Product@94033afb, edu.matc.entity.Product@426ea590, edu.matc.entity.Product@a10217a2]
[INFO ] 2020-11-30 20:26:19.880 [http-nio-8080-exec-6] GenericDao - [edu.matc.entity.Product@5cd0d446, edu.matc.entity.Product@a4910ca9, edu.matc.entity.Product@cde4a59f, edu.matc.entity.Product@9d774a8e, edu.matc.entity.Product@9006f371, edu.matc.entity.Product@5ce73ca2, edu.matc.entity.Product@60aa3b1b, edu.matc.entity.Product@32965117, edu.matc.entity.Product@99df8af6, edu.matc.entity.Product@94033afb, edu.matc.entity.Product@426ea590, edu.matc.entity.Product@a10217a2]
[INFO ] 2020-11-30 20:26:25.395 [http-nio-8080-exec-10] GenericDao - [edu.matc.entity.Product@5cd0d446, edu.matc.entity.Product@a4910ca9, edu.matc.entity.Product@cde4a59f, edu.matc.entity.Product@9d774a8e, edu.matc.entity.Product@9006f371, edu.matc.entity.Product@5ce73ca2, edu.matc.entity.Product@60aa3b1b, edu.matc.entity.Product@32965117, edu.matc.entity.Product@99df8af6, edu.matc.entity.Product@94033afb, edu.matc.entity.Product@426ea590, edu.matc.entity.Product@a10217a2]
[INFO ] 2020-11-30 20:32:20.803 [http-nio-8080-exec-6] GenericDao - [edu.matc.entity.Product@5cd0d446, edu.matc.entity.Product@a4910ca9, edu.matc.entity.Product@cde4a59f, edu.matc.entity.Product@9d774a8e, edu.matc.entity.Product@9006f371, edu.matc.entity.Product@5ce73ca2, edu.matc.entity.Product@60aa3b1b, edu.matc.entity.Product@32965117, edu.matc.entity.Product@99df8af6, edu.matc.entity.Product@94033afb, edu.matc.entity.Product@426ea590, edu.matc.entity.Product@a10217a2]
[INFO ] 2020-11-30 20:32:25.587 [http-nio-8080-exec-10] GenericDao - [edu.matc.entity.Product@5cd0d446, edu.matc.entity.Product@a4910ca9, edu.matc.entity.Product@cde4a59f, edu.matc.entity.Product@9d774a8e, edu.matc.entity.Product@9006f371, edu.matc.entity.Product@5ce73ca2, edu.matc.entity.Product@60aa3b1b, edu.matc.entity.Product@32965117, edu.matc.entity.Product@99df8af6, edu.matc.entity.Product@94033afb, edu.matc.entity.Product@426ea590, edu.matc.entity.Product@a10217a2]
[INFO ] 2020-11-30 20:48:14.269 [http-nio-8080-exec-6] GenericDao - [edu.matc.entity.Product@5cd0d446, edu.matc.entity.Product@a4910ca9, edu.matc.entity.Product@cde4a59f, edu.matc.entity.Product@9d774a8e, edu.matc.entity.Product@9006f371, edu.matc.entity.Product@5ce73ca2, edu.matc.entity.Product@60aa3b1b, edu.matc.entity.Product@32965117, edu.matc.entity.Product@99df8af6, edu.matc.entity.Product@94033afb, edu.matc.entity.Product@426ea590, edu.matc.entity.Product@a10217a2]
[INFO ] 2020-11-30 20:48:26.103 [http-nio-8080-exec-9] GenericDao - [edu.matc.entity.Product@5cd0d446, edu.matc.entity.Product@a4910ca9, edu.matc.entity.Product@cde4a59f, edu.matc.entity.Product@9d774a8e, edu.matc.entity.Product@9006f371, edu.matc.entity.Product@5ce73ca2, edu.matc.entity.Product@60aa3b1b, edu.matc.entity.Product@32965117, edu.matc.entity.Product@99df8af6, edu.matc.entity.Product@94033afb, edu.matc.entity.Product@426ea590, edu.matc.entity.Product@a10217a2]
[INFO ] 2020-11-30 20:52:21.286 [http-nio-8080-exec-8] GenericDao - [edu.matc.entity.Product@5cd0d446, edu.matc.entity.Product@a4910ca9, edu.matc.entity.Product@cde4a59f, edu.matc.entity.Product@9d774a8e, edu.matc.entity.Product@9006f371, edu.matc.entity.Product@5ce73ca2, edu.matc.entity.Product@60aa3b1b, edu.matc.entity.Product@32965117, edu.matc.entity.Product@99df8af6, edu.matc.entity.Product@94033afb, edu.matc.entity.Product@426ea590, edu.matc.entity.Product@a10217a2]
[INFO ] 2020-11-30 20:52:26.270 [http-nio-8080-exec-4] GenericDao - [edu.matc.entity.Product@5cd0d446, edu.matc.entity.Product@a4910ca9, edu.matc.entity.Product@cde4a59f, edu.matc.entity.Product@9d774a8e, edu.matc.entity.Product@9006f371, edu.matc.entity.Product@5ce73ca2, edu.matc.entity.Product@60aa3b1b, edu.matc.entity.Product@32965117, edu.matc.entity.Product@99df8af6, edu.matc.entity.Product@94033afb, edu.matc.entity.Product@426ea590, edu.matc.entity.Product@a10217a2]
[INFO ] 2020-11-30 21:24:56.476 [http-nio-8080-exec-6] GenericDao - [edu.matc.entity.Product@5cd0d446, edu.matc.entity.Product@a4910ca9, edu.matc.entity.Product@cde4a59f, edu.matc.entity.Product@9d774a8e, edu.matc.entity.Product@9006f371, edu.matc.entity.Product@5ce73ca2, edu.matc.entity.Product@60aa3b1b, edu.matc.entity.Product@32965117, edu.matc.entity.Product@99df8af6, edu.matc.entity.Product@94033afb, edu.matc.entity.Product@426ea590, edu.matc.entity.Product@a10217a2]
[INFO ] 2020-11-30 21:25:02.115 [http-nio-8080-exec-7] GenericDao - [edu.matc.entity.Product@5cd0d446, edu.matc.entity.Product@a4910ca9, edu.matc.entity.Product@cde4a59f, edu.matc.entity.Product@9d774a8e, edu.matc.entity.Product@9006f371, edu.matc.entity.Product@5ce73ca2, edu.matc.entity.Product@60aa3b1b, edu.matc.entity.Product@32965117, edu.matc.entity.Product@99df8af6, edu.matc.entity.Product@94033afb, edu.matc.entity.Product@426ea590, edu.matc.entity.Product@a10217a2]
[INFO ] 2020-11-30 21:28:02.983 [http-nio-8080-exec-7] GenericDao - [edu.matc.entity.Product@5cd0d446, edu.matc.entity.Product@a4910ca9, edu.matc.entity.Product@cde4a59f, edu.matc.entity.Product@9d774a8e, edu.matc.entity.Product@9006f371, edu.matc.entity.Product@5ce73ca2, edu.matc.entity.Product@60aa3b1b, edu.matc.entity.Product@32965117, edu.matc.entity.Product@99df8af6, edu.matc.entity.Product@94033afb, edu.matc.entity.Product@426ea590, edu.matc.entity.Product@a10217a2]
[INFO ] 2020-11-30 21:38:50.294 [http-nio-8080-exec-6] GenericDao - [edu.matc.entity.Product@5cd0d446, edu.matc.entity.Product@a4910ca9, edu.matc.entity.Product@cde4a59f, edu.matc.entity.Product@9d774a8e, edu.matc.entity.Product@9006f371, edu.matc.entity.Product@5ce73ca2, edu.matc.entity.Product@60aa3b1b, edu.matc.entity.Product@32965117, edu.matc.entity.Product@99df8af6, edu.matc.entity.Product@94033afb, edu.matc.entity.Product@426ea590, edu.matc.entity.Product@a10217a2]
[INFO ] 2020-11-30 21:38:56.264 [http-nio-8080-exec-10] GenericDao - [edu.matc.entity.Product@5cd0d446, edu.matc.entity.Product@a4910ca9, edu.matc.entity.Product@cde4a59f, edu.matc.entity.Product@9d774a8e, edu.matc.entity.Product@9006f371, edu.matc.entity.Product@5ce73ca2, edu.matc.entity.Product@60aa3b1b, edu.matc.entity.Product@32965117, edu.matc.entity.Product@99df8af6, edu.matc.entity.Product@94033afb, edu.matc.entity.Product@426ea590, edu.matc.entity.Product@a10217a2]
[INFO ] 2020-11-30 21:42:19.449 [http-nio-8080-exec-10] GenericDao - [edu.matc.entity.Product@5cd0d446, edu.matc.entity.Product@a4910ca9, edu.matc.entity.Product@cde4a59f, edu.matc.entity.Product@9d774a8e, edu.matc.entity.Product@9006f371, edu.matc.entity.Product@5ce73ca2, edu.matc.entity.Product@60aa3b1b, edu.matc.entity.Product@32965117, edu.matc.entity.Product@99df8af6, edu.matc.entity.Product@94033afb, edu.matc.entity.Product@426ea590, edu.matc.entity.Product@a10217a2]
