[DEBUG] 2020-12-07 20:31:25.283 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-12-07 20:31:25.322 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-12-07 20:31:25.363 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-12-07 20:31:25.952 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-12-07 20:31:25.974 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-12-07 20:31:26.825 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-12-07 20:31:26.826 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-12-07 20:31:26.844 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-12-07 20:31:27.690 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-12-07 20:31:27.758 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-12-07 20:31:27.760 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-12-07 20:31:27.810 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-12-07 20:31:27.909 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@2009f9b0
[DEBUG] 2020-12-07 20:31:27.909 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@2009f9b0
[DEBUG] 2020-12-07 20:31:27.914 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@2009f9b0
[DEBUG] 2020-12-07 20:31:27.915 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@211febf3
[DEBUG] 2020-12-07 20:31:27.916 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@588307f7
[DEBUG] 2020-12-07 20:31:27.918 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@6ab7ce48
[DEBUG] 2020-12-07 20:31:27.919 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@1416a80a
[DEBUG] 2020-12-07 20:31:27.920 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@1416a80a
[DEBUG] 2020-12-07 20:31:27.926 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@1416a80a
[DEBUG] 2020-12-07 20:31:27.927 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@2b5183ec
[DEBUG] 2020-12-07 20:31:27.927 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@2b5183ec
[DEBUG] 2020-12-07 20:31:27.928 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@2b5183ec
[DEBUG] 2020-12-07 20:31:27.929 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@b0e5507
[DEBUG] 2020-12-07 20:31:27.929 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@b0e5507
[DEBUG] 2020-12-07 20:31:27.930 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@b0e5507
[DEBUG] 2020-12-07 20:31:27.931 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@51d9b06c
[DEBUG] 2020-12-07 20:31:27.931 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@51d9b06c
[DEBUG] 2020-12-07 20:31:27.932 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@51d9b06c
[DEBUG] 2020-12-07 20:31:27.934 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@7a1f45ed
[DEBUG] 2020-12-07 20:31:27.934 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@7a1f45ed
[DEBUG] 2020-12-07 20:31:27.934 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@7a1f45ed
[DEBUG] 2020-12-07 20:31:27.935 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@73437222
[DEBUG] 2020-12-07 20:31:27.935 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@73437222
[DEBUG] 2020-12-07 20:31:27.936 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@73437222
[DEBUG] 2020-12-07 20:31:27.938 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@4096aa05
[DEBUG] 2020-12-07 20:31:27.939 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@4096aa05
[DEBUG] 2020-12-07 20:31:27.939 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@4096aa05
[DEBUG] 2020-12-07 20:31:27.940 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@14d8444b
[DEBUG] 2020-12-07 20:31:27.940 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@14d8444b
[DEBUG] 2020-12-07 20:31:27.942 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@205bed61
[DEBUG] 2020-12-07 20:31:27.945 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@205bed61
[DEBUG] 2020-12-07 20:31:27.947 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@5c60b0a0
[DEBUG] 2020-12-07 20:31:27.947 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@5c60b0a0
[DEBUG] 2020-12-07 20:31:27.947 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@10fbbdb
[DEBUG] 2020-12-07 20:31:27.951 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@aa149ed
